_id,model,accuracy[0],accuracy[1]
658102db7c529461393947f2,SIMPLERNN,0.44543135166168213,0.9277777671813965
658103787c529461393947f3,SIMPLERNN,0.6226732730865479,0.9388889074325562
6581040c7c529461393947f4,SIMPLERNN,0.512252926826477,0.9333333373069763
658104a47c529461393947f5,SIMPLERNN,0.7029356956481934,0.9166666865348816
6581055c7c529461393947f6,SIMPLERNN,0.7077151536941528,0.9333333373069763
658106087c529461393947f7,SIMPLERNN,0.5244527459144592,0.9388889074325562
658106ba7c529461393947f8,SIMPLERNN,0.7927416563034058,0.8999999761581421
658107657c529461393947f9,SIMPLERNN,0.5900838375091553,0.9333333373069763
658108297c529461393947fa,SIMPLERNN,0.6131815314292908,0.9166666865348816
658108eb7c529461393947fb,SIMPLERNN,0.9321698546409607,0.8833333253860474
